district_id,division_id,participated,participated_men,participated_women,total_registered_voters,total_registered_voters_men,total_registered_voters_women
05,00.05.41,958,396,562,1892,767,1125
05,00.05.42,1662,737,925,2929,1265,1664
05,00.05.43,1465,615,850,2560,1101,1459
05,00.05.44,1029,443,586,1706,742,964
05,00.05.45,757,330,427,1363,571,792
05,00.05.46,1563,676,887,2983,1304,1679
05,00.05.47,748,302,446,1205,480,725
05,00.05.48,712,305,407,1333,565,768
05,00.05.49,896,375,521,1496,624,872
05,00.05.50,758,343,415,1337,611,726
05,00.05.51,1675,763,912,3116,1361,1755
05,00.05.52,1560,669,891,2979,1301,1678
05,00.05.53,1486,660,826,2807,1245,1562
05,00.05.54,1762,788,974,2999,1325,1674
05,00.05.55,1379,596,783,2457,1076,1381
05,00.05.56,972,422,550,1706,740,966
05,00.05.57,1609,900,709,2820,1259,1561
06,00.06.01,1256,525,731,2232,947,1285
06,00.06.02,1365,788,577,2475,1084,1391
06,00.06.03,1283,537,746,2303,992,1311
06,00.06.04,1359,606,753,2318,1034,1284
06,00.06.05,1370,574,796,2444,1049,1395
06,00.06.06,782,329,453,1283,563,720
06,00.06.07,1509,625,884,2619,1119,1500
06,00.06.08,1344,574,770,2252,967,1285
06,00.06.09,919,409,510,1623,724,899
06,00.06.10,791,348,443,1384,617,767
06,00.06.11,1542,647,895,2710,1163,1547
06,00.06.12,1436,608,828,2578,1136,1442
06,00.06.13,1491,634,857,2583,1100,1483
06,00.06.14,1329,557,772,2258,952,1306
06,00.06.15,1577,686,891,2661,1146,1515
06,00.06.16,1547,652,895,2683,1134,1549
06,00.06.17,1661,694,967,2849,1192,1657
06,00.06.18,1202,497,705,2347,985,1362
06,00.06.19,1057,418,639,2104,867,1237
06,00.06.20,1425,577,848,2541,1086,1455
06,00.06.21,831,344,487,1389,578,811
06,00.06.22,699,303,396,1131,486,645
06,00.06.23,1667,693,974,3236,1365,1871
06,00.06.24,1325,583,742,2563,1129,1434
06,00.06.25,1302,544,758,2336,979,1357
06,00.06.26,1326,526,800,2554,1055,1499
06,00.06.27,948,413,535,1872,839,1033
06,00.06.28,309,130,179,1200,507,693
06,00.06.29,1465,600,865,2803,1193,1610
06,00.06.30,1453,599,854,2701,1138,1563
06,00.06.31,1738,795,943,3254,1447,1807
06,00.06.32,1431,587,844,2780,1161,1619
06,00.06.33,1389,574,815,2578,1089,1489
06,00.06.34,747,334,413,1341,588,753
06,00.06.35,792,362,430,1358,620,738
06,00.06.36,857,383,474,1595,714,881
06,00.06.37,1218,661,557,2251,1010,1241
06,00.06.38,1553,677,876,2920,1291,1629
06,00.06.39,1279,573,706,2404,1078,1326
06,00.06.40,1392,650,742,2893,1278,1615
06,00.06.41,1395,626,769,2851,1267,1584
06,00.06.42,1238,556,682,2308,1048,1260
06,00.06.43,346,170,176,552,261,291
06,00.06.44,1573,758,815,2625,1222,1403
06,00.06.45,1316,629,687,1948,886,1062
06,00.06.46,641,321,320,1129,557,572
06,00.06.47,516,237,279,1041,480,561
06,00.06.48,1835,1080,755,2836,1279,1557
06,00.06.49,577,283,294,1375,633,742
06,00.06.50,1058,680,378,1350,592,758
06,00.06.51,1050,466,584,2131,960,1171
06,00.06.52,1429,589,840,2943,1274,1669
06,00.06.53,1399,597,802,2692,1174,1518
06,00.06.54,806,348,458,1813,794,1019
06,00.06.55,674,295,379,1437,650,787
06,00.06.56,848,108,740,1491,673,818
06,00.06.57,789,353,436,1638,733,905
06,00.06.58,1397,603,794,2478,1078,1400
06,00.06.59,1221,548,673,1937,865,1072
06,00.06.60,657,303,354,1215,538,677
06,00.06.61,766,329,437,1210,531,679
06,00.06.62,868,374,494,1375,599,776
06,00.06.63,1479,647,832,2539,1111,1428
06,00.06.64,626,258,368,1185,527,658
06,00.06.65,767,343,424,1444,674,770
06,00.06.66,1506,615,891,2629,1085,1544
06,00.06.67,1184,521,663,2073,902,1171
06,00.06.68,1228,529,699,2165,940,1225
06,00.06.69,591,251,340,979,422,557
06,00.06.70,825,307,518,1450,586,864
06,00.06.71,956,365,591,1590,647,943
06,00.06.72,1284,585,699,2368,1079,1289
07,00.07.01,863,352,511,1303,555,748
07,00.07.02,860,379,481,1379,609,770
07,00.07.03,717,309,408,1252,527,725
07,00.07.04,915,382,533,1507,630,877
07,00.07.05,613,284,329,1268,583,685
07,00.07.06,854,397,457,1483,649,834
07,00.07.07,954,373,581,1510,596,914
07,00.07.08,851,361,490,1422,614,808
07,00.07.09,897,371,526,1467,608,859
07,00.07.10,1495,634,861,2353,976,1377
07,00.07.11,900,345,555,1528,628,900
07,00.07.12,1520,613,907,2376,998,1378
07,00.07.13,1162,468,694,1967,840,1127
07,00.07.14,1590,646,944,2584,1086,1498
07,00.07.15,992,409,583,1571,671,900
07,00.07.16,956,453,503,1527,690,837
07,00.07.17,965,401,564,1609,680,929
07,00.07.18,977,416,561,1608,719,889
07,00.07.19,1324,572,752,2289,963,1326
07,00.07.20,833,352,481,1597,689,908
07,00.07.21,958,402,556,1538,681,857
07,00.07.22,840,349,491,1426,613,813
07,00.07.23,1591,664,927,2803,1171,1632
07,00.07.24,1021,417,604,1623,676,947
07,00.07.25,1736,723,1013,2718,1132,1586
07,00.07.26,1291,553,738,1943,807,1136
07,00.07.27,1241,513,728,2044,882,1162
07,00.07.28,816,340,476,1196,498,698
07,00.07.29,827,338,489,1361,577,784
07,00.07.30,774,347,427,1238,542,696
07,00.07.31,953,379,574,1593,673,920
07,00.07.32,856,389,467,1439,654,785
07,00.07.33,922,364,558,1523,612,911
07,00.07.34,880,370,510,1400,599,801
07,00.07.35,817,354,463,1367,579,788
07,00.07.36,673,290,383,1065,440,625
07,00.07.37,829,340,489,1354,574,780
07,00.07.38,762,285,477,1313,519,794
07,00.07.39,1278,592,686,1937,898,1039
07,00.07.40,768,365,403,1368,627,741
07,00.07.41,828,367,461,1384,623,761
08,00.08.01,882,368,514,1441,610,831
08,00.08.02,837,366,471,1200,524,676
08,00.08.03,989,390,599,1518,636,882
08,00.08.04,829,341,488,1221,513,708
08,00.08.05,819,356,463,1259,536,723
08,00.08.06,947,432,515,1422,652,770
08,00.08.07,802,322,480,1183,479,704
08,00.08.08,773,337,436,1225,524,701
08,00.08.09,1108,466,642,1680,720,960
08,00.08.10,460,165,295,678,256,422
08,00.08.11,1410,578,832,2172,922,1250
08,00.08.12,1534,609,925,2397,984,1413
08,00.08.13,738,295,443,1112,459,653
08,00.08.14,728,300,428,1081,446,635
08,00.08.15,1360,556,804,2285,975,1310
08,00.08.16,917,383,534,1509,653,856
08,00.08.17,1002,435,567,1575,672,903
08,00.08.18,1064,455,609,1706,742,964
08,00.08.19,1068,461,607,1615,693,922
08,00.08.20,1207,502,705,1737,734,1003
08,00.08.21,702,283,419,1094,444,650
08,00.08.22,1033,447,586,1498,619,879
08,00.08.23,916,392,524,1336,556,780
08,00.08.24,890,357,533,1291,514,777
08,00.08.25,755,316,439,1110,460,650
08,00.08.26,1557,644,913,2282,958,1324
08,00.08.27,1537,630,907,2297,970,1327
08,00.08.28,820,317,503,1146,453,693
08,00.08.29,1159,470,689,1710,702,1008
08,00.08.30,1198,472,726,1737,695,1042
08,00.08.31,855,372,483,1301,563,738
08,00.08.32,1530,618,912,2226,883,1343
08,00.08.33,635,256,379,809,353,456
08,00.08.34,827,318,509,1139,469,670
08,00.08.35,1493,628,865,2276,948,1328
08,00.08.36,836,331,505,1128,450,678
08,00.08.37,953,382,571,1404,576,828
08,00.08.38,1545,638,907,2293,947,1346
08,00.08.39,1249,530,719,1873,811,1062
08,00.08.40,1126,497,629,1751,765,986
09,00.09.01,1282,630,652,2705,1264,1441
09,00.09.02,1486,712,774,2559,1179,1380
09,00.09.03,1510,704,806,2610,1167,1443
09,00.09.04,1600,689,911,2829,1243,1586
09,00.09.05,1307,618,689,2488,1171,1317
09,00.09.06,747,329,418,1313,601,712
09,00.09.07,957,438,519,1481,690,791
09,00.09.08,914,413,501,1412,618,794
09,00.09.09,864,397,467,1496,672,824
